[mu2, mu3, correctneg, falseneg, correctneg%, correctoff, falseoff, correctoff%, correct%]
[0.001, 0.001, 1252, 0, 1.0, 74, 166, 0.30833333333333335, 0.8887399463806971, 0]
[0.001, 0.006, 1251, 1, 0.9992012779552716, 75, 165, 0.3125, 0.8887399463806971, 0]
[0.006, 0.001, 1252, 0, 1.0, 70, 170, 0.2916666666666667, 0.886058981233244, 0]
[0.006, 0.006, 1252, 0, 1.0, 70, 170, 0.2916666666666667, 0.886058981233244, 0]
[0.006, 0.01, 1252, 0, 1.0, 70, 170, 0.2916666666666667, 0.886058981233244, 0]
[0.01, 0.001, 1252, 0, 1.0, 70, 170, 0.2916666666666667, 0.886058981233244, 0]
[0.01, 0.006, 1252, 0, 1.0, 70, 170, 0.2916666666666667, 0.886058981233244, 0]
[0.01, 0.01, 1252, 0, 1.0, 70, 170, 0.2916666666666667, 0.886058981233244, 0]
[0.06, 0.001, 1252, 0, 1.0, 70, 170, 0.2916666666666667, 0.886058981233244, 0]
[0.06, 0.006, 1252, 0, 1.0, 70, 170, 0.2916666666666667, 0.886058981233244, 0]
[0.06, 0.01, 1252, 0, 1.0, 70, 170, 0.2916666666666667, 0.886058981233244, 0]
[0.06, 0.06, 1252, 0, 1.0, 70, 170, 0.2916666666666667, 0.886058981233244, 0]
[0.06, 0.1, 1252, 0, 1.0, 70, 170, 0.2916666666666667, 0.886058981233244, 1]
[0.1, 0.001, 1252, 0, 1.0, 70, 170, 0.2916666666666667, 0.886058981233244, 0]
[0.1, 0.006, 1252, 0, 1.0, 70, 170, 0.2916666666666667, 0.886058981233244, 0]
[0.1, 0.01, 1252, 0, 1.0, 70, 170, 0.2916666666666667, 0.886058981233244, 0]
[0.1, 0.06, 1252, 0, 1.0, 70, 170, 0.2916666666666667, 0.886058981233244, 0]
[0.1, 0.1, 1252, 0, 1.0, 70, 170, 0.2916666666666667, 0.886058981233244, 0]
[0.6, 0.001, 1252, 0, 1.0, 70, 170, 0.2916666666666667, 0.886058981233244, 0]
[0.6, 0.006, 1252, 0, 1.0, 70, 170, 0.2916666666666667, 0.886058981233244, 0]
[0.6, 0.01, 1252, 0, 1.0, 70, 170, 0.2916666666666667, 0.886058981233244, 0]
[0.6, 0.06, 1252, 0, 1.0, 70, 170, 0.2916666666666667, 0.886058981233244, 0]
[0.6, 0.1, 1252, 0, 1.0, 70, 170, 0.2916666666666667, 0.886058981233244, 0]
[0.001, 0.01, 1238, 14, 0.9888178913738019, 79, 161, 0.32916666666666666, 0.8827077747989276, 14]
[1.0, 0.6, 1252, 0, 1.0, 55, 185, 0.22916666666666666, 0.8760053619302949, 0]
[1.0, 0.001, 1252, 0, 1.0, 54, 186, 0.225, 0.8753351206434317, 0]
[1.0, 0.006, 1252, 0, 1.0, 54, 186, 0.225, 0.8753351206434317, 0]
[1.0, 0.01, 1252, 0, 1.0, 54, 186, 0.225, 0.8753351206434317, 0]
[1.0, 0.06, 1252, 0, 1.0, 54, 186, 0.225, 0.8753351206434317, 0]
[1.0, 0.1, 1252, 0, 1.0, 54, 186, 0.225, 0.8753351206434317, 0]
[0.6, 0.6, 1235, 17, 0.9864217252396166, 70, 170, 0.2916666666666667, 0.8746648793565683, 19]
[1.0, 1.0, 1205, 47, 0.9624600638977636, 57, 183, 0.2375, 0.8458445040214477, 53]
[0.001, 0.06, 80, 1172, 0.06389776357827476, 70, 170, 0.2916666666666667, 0.10053619302949061, 1342]
[0.001, 0.1, 80, 1172, 0.06389776357827476, 70, 170, 0.2916666666666667, 0.10053619302949061, 1342]
[0.001, 0.6, 80, 1172, 0.06389776357827476, 70, 170, 0.2916666666666667, 0.10053619302949061, 1342]
[0.001, 1.0, 80, 1172, 0.06389776357827476, 70, 170, 0.2916666666666667, 0.10053619302949061, 1342]
[0.006, 0.06, 80, 1172, 0.06389776357827476, 70, 170, 0.2916666666666667, 0.10053619302949061, 1342]
[0.006, 0.1, 80, 1172, 0.06389776357827476, 70, 170, 0.2916666666666667, 0.10053619302949061, 1342]
[0.01, 0.06, 80, 1172, 0.06389776357827476, 70, 170, 0.2916666666666667, 0.10053619302949061, 1342]
[0.01, 0.1, 80, 1172, 0.06389776357827476, 70, 170, 0.2916666666666667, 0.10053619302949061, 1342]
[0.006, 0.6, 64, 1188, 0.051118210862619806, 58, 182, 0.24166666666666667, 0.08176943699731903, 1370]
[0.006, 1.0, 56, 1196, 0.04472843450479233, 54, 186, 0.225, 0.07372654155495978, 1382]
[0.01, 0.6, 26, 1226, 0.020766773162939296, 21, 219, 0.0875, 0.03150134048257373, 1445]
[0.01, 1.0, 22, 1230, 0.01757188498402556, 10, 230, 0.041666666666666664, 0.021447721179624665, 1460]
[0.6, 1.0, 5, 1247, 0.003993610223642172, 1, 239, 0.004166666666666667, 0.004021447721179625, 1486]
[0.06, 0.6, 1, 1251, 0.0007987220447284345, 1, 239, 0.004166666666666667, 0.0013404825737265416, 1490]
[0.1, 0.6, 1, 1251, 0.0007987220447284345, 0, 240, 0.0, 0.0006702412868632708, 1491]
[0.06, 1.0, 0, 1252, 0.0, 0, 240, 0.0, 0.0, 1492]
[0.1, 1.0, 0, 1252, 0.0, 0, 240, 0.0, 0.0, 1492]
