[mu2, mu3, correctneg, falseneg, correctneg%, correctoff, falseoff, correctoff%, correct%]
[0.001, 0.001, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.001, 0.006, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.001, 0.01, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.006, 0.001, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.006, 0.006, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.006, 0.01, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.01, 0.001, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.01, 0.006, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.01, 0.01, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.06, 0.001, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.06, 0.006, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.06, 0.01, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.1, 0.001, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.1, 0.006, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.1, 0.01, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.6, 0.001, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.6, 0.006, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.6, 0.01, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[1.0, 0.001, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[1.0, 0.006, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[1.0, 0.01, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.001, 0.06, 125, 1060, 0.10548523206751055, 71, 181, 0.28174603174603174, 0.13639526791927628]
[0.006, 0.06, 125, 1060, 0.10548523206751055, 71, 181, 0.28174603174603174, 0.13639526791927628]
[0.01, 0.06, 125, 1060, 0.10548523206751055, 71, 181, 0.28174603174603174, 0.13639526791927628]
[0.06, 0.06, 125, 1060, 0.10548523206751055, 71, 181, 0.28174603174603174, 0.13639526791927628]
[0.1, 0.06, 125, 1060, 0.10548523206751055, 71, 181, 0.28174603174603174, 0.13639526791927628]
[0.6, 0.06, 125, 1060, 0.10548523206751055, 71, 181, 0.28174603174603174, 0.13639526791927628]
[1.0, 0.06, 125, 1060, 0.10548523206751055, 71, 181, 0.28174603174603174, 0.13639526791927628]
[0.001, 0.1, 71, 1114, 0.059915611814345994, 71, 181, 0.28174603174603174, 0.09881697981906751]
[0.001, 0.6, 71, 1114, 0.059915611814345994, 71, 181, 0.28174603174603174, 0.09881697981906751]
[0.001, 1.0, 71, 1114, 0.059915611814345994, 71, 181, 0.28174603174603174, 0.09881697981906751]
[0.006, 0.1, 71, 1114, 0.059915611814345994, 71, 181, 0.28174603174603174, 0.09881697981906751]
[0.006, 0.6, 71, 1114, 0.059915611814345994, 71, 181, 0.28174603174603174, 0.09881697981906751]
[0.006, 1.0, 71, 1114, 0.059915611814345994, 71, 181, 0.28174603174603174, 0.09881697981906751]
[0.01, 0.1, 71, 1114, 0.059915611814345994, 71, 181, 0.28174603174603174, 0.09881697981906751]
[0.01, 0.6, 71, 1114, 0.059915611814345994, 71, 181, 0.28174603174603174, 0.09881697981906751]
[0.01, 1.0, 71, 1114, 0.059915611814345994, 71, 181, 0.28174603174603174, 0.09881697981906751]
[0.06, 0.1, 71, 1114, 0.059915611814345994, 71, 181, 0.28174603174603174, 0.09881697981906751]
[0.06, 0.6, 71, 1114, 0.059915611814345994, 71, 181, 0.28174603174603174, 0.09881697981906751]
[0.06, 1.0, 71, 1114, 0.059915611814345994, 71, 181, 0.28174603174603174, 0.09881697981906751]
[0.1, 0.1, 71, 1114, 0.059915611814345994, 71, 181, 0.28174603174603174, 0.09881697981906751]
[0.1, 0.6, 71, 1114, 0.059915611814345994, 71, 181, 0.28174603174603174, 0.09881697981906751]
[0.1, 1.0, 71, 1114, 0.059915611814345994, 71, 181, 0.28174603174603174, 0.09881697981906751]
[0.6, 0.1, 71, 1114, 0.059915611814345994, 71, 181, 0.28174603174603174, 0.09881697981906751]
[0.6, 0.6, 71, 1114, 0.059915611814345994, 71, 181, 0.28174603174603174, 0.09881697981906751]
[0.6, 1.0, 71, 1114, 0.059915611814345994, 71, 181, 0.28174603174603174, 0.09881697981906751]
[1.0, 0.1, 71, 1114, 0.059915611814345994, 71, 181, 0.28174603174603174, 0.09881697981906751]
[1.0, 0.6, 71, 1114, 0.059915611814345994, 71, 181, 0.28174603174603174, 0.09881697981906751]
[1.0, 1.0, 71, 1114, 0.059915611814345994, 71, 181, 0.28174603174603174, 0.09881697981906751]
