[mu2, mu3, correctneg, falseneg, correctneg%, correctoff, falseoff, correctoff%, correct%]
[0.001, 0.001, 1108, 77, 0.9350210970464135, 141, 111, 0.5595238095238095, 0.8691718858733473]
[0.006, 0.001, 1108, 77, 0.9350210970464135, 141, 111, 0.5595238095238095, 0.8691718858733473]
[0.01, 0.001, 1108, 77, 0.9350210970464135, 141, 111, 0.5595238095238095, 0.8691718858733473]
[0.06, 0.001, 1108, 77, 0.9350210970464135, 141, 111, 0.5595238095238095, 0.8691718858733473]
[0.1, 0.001, 1108, 77, 0.9350210970464135, 141, 111, 0.5595238095238095, 0.8691718858733473]
[0.6, 0.001, 1108, 77, 0.9350210970464135, 141, 111, 0.5595238095238095, 0.8691718858733473]
[1.0, 0.001, 1108, 77, 0.9350210970464135, 141, 111, 0.5595238095238095, 0.8691718858733473]
[0.001, 0.006, 1096, 89, 0.9248945147679325, 145, 107, 0.5753968253968254, 0.8636047320807237]
[0.006, 0.006, 1096, 89, 0.9248945147679325, 145, 107, 0.5753968253968254, 0.8636047320807237]
[0.01, 0.006, 1096, 89, 0.9248945147679325, 145, 107, 0.5753968253968254, 0.8636047320807237]
[0.06, 0.006, 1096, 89, 0.9248945147679325, 145, 107, 0.5753968253968254, 0.8636047320807237]
[0.1, 0.006, 1096, 89, 0.9248945147679325, 145, 107, 0.5753968253968254, 0.8636047320807237]
[0.6, 0.006, 1096, 89, 0.9248945147679325, 145, 107, 0.5753968253968254, 0.8636047320807237]
[1.0, 0.006, 1096, 89, 0.9248945147679325, 145, 107, 0.5753968253968254, 0.8636047320807237]
[0.001, 0.01, 1090, 95, 0.919831223628692, 150, 102, 0.5952380952380952, 0.8629088378566457]
[0.006, 0.01, 1090, 95, 0.919831223628692, 150, 102, 0.5952380952380952, 0.8629088378566457]
[0.01, 0.01, 1090, 95, 0.919831223628692, 150, 102, 0.5952380952380952, 0.8629088378566457]
[0.06, 0.01, 1090, 95, 0.919831223628692, 150, 102, 0.5952380952380952, 0.8629088378566457]
[0.1, 0.01, 1090, 95, 0.919831223628692, 150, 102, 0.5952380952380952, 0.8629088378566457]
[0.6, 0.01, 1090, 95, 0.919831223628692, 150, 102, 0.5952380952380952, 0.8629088378566457]
[1.0, 0.01, 1090, 95, 0.919831223628692, 150, 102, 0.5952380952380952, 0.8629088378566457]
[0.001, 0.06, 803, 382, 0.6776371308016877, 161, 91, 0.6388888888888888, 0.6708420320111343]
[0.006, 0.06, 803, 382, 0.6776371308016877, 161, 91, 0.6388888888888888, 0.6708420320111343]
[0.01, 0.06, 803, 382, 0.6776371308016877, 161, 91, 0.6388888888888888, 0.6708420320111343]
[0.06, 0.06, 803, 382, 0.6776371308016877, 161, 91, 0.6388888888888888, 0.6708420320111343]
[0.1, 0.06, 803, 382, 0.6776371308016877, 161, 91, 0.6388888888888888, 0.6708420320111343]
[0.6, 0.06, 803, 382, 0.6776371308016877, 161, 91, 0.6388888888888888, 0.6708420320111343]
[1.0, 0.06, 803, 382, 0.6776371308016877, 161, 91, 0.6388888888888888, 0.6708420320111343]
[0.001, 0.1, 80, 1105, 0.06751054852320675, 80, 172, 0.31746031746031744, 0.11134307585247043]
[0.001, 0.6, 80, 1105, 0.06751054852320675, 80, 172, 0.31746031746031744, 0.11134307585247043]
[0.001, 1.0, 80, 1105, 0.06751054852320675, 80, 172, 0.31746031746031744, 0.11134307585247043]
[0.006, 0.1, 80, 1105, 0.06751054852320675, 80, 172, 0.31746031746031744, 0.11134307585247043]
[0.006, 0.6, 80, 1105, 0.06751054852320675, 80, 172, 0.31746031746031744, 0.11134307585247043]
[0.006, 1.0, 80, 1105, 0.06751054852320675, 80, 172, 0.31746031746031744, 0.11134307585247043]
[0.01, 0.1, 80, 1105, 0.06751054852320675, 80, 172, 0.31746031746031744, 0.11134307585247043]
[0.01, 0.6, 80, 1105, 0.06751054852320675, 80, 172, 0.31746031746031744, 0.11134307585247043]
[0.01, 1.0, 80, 1105, 0.06751054852320675, 80, 172, 0.31746031746031744, 0.11134307585247043]
[0.06, 0.1, 80, 1105, 0.06751054852320675, 80, 172, 0.31746031746031744, 0.11134307585247043]
[0.06, 0.6, 80, 1105, 0.06751054852320675, 80, 172, 0.31746031746031744, 0.11134307585247043]
[0.06, 1.0, 80, 1105, 0.06751054852320675, 80, 172, 0.31746031746031744, 0.11134307585247043]
[0.1, 0.1, 80, 1105, 0.06751054852320675, 80, 172, 0.31746031746031744, 0.11134307585247043]
[0.1, 0.6, 80, 1105, 0.06751054852320675, 80, 172, 0.31746031746031744, 0.11134307585247043]
[0.1, 1.0, 80, 1105, 0.06751054852320675, 80, 172, 0.31746031746031744, 0.11134307585247043]
[0.6, 0.1, 80, 1105, 0.06751054852320675, 80, 172, 0.31746031746031744, 0.11134307585247043]
[0.6, 0.6, 80, 1105, 0.06751054852320675, 80, 172, 0.31746031746031744, 0.11134307585247043]
[0.6, 1.0, 80, 1105, 0.06751054852320675, 80, 172, 0.31746031746031744, 0.11134307585247043]
[1.0, 0.1, 80, 1105, 0.06751054852320675, 80, 172, 0.31746031746031744, 0.11134307585247043]
[1.0, 0.6, 80, 1105, 0.06751054852320675, 80, 172, 0.31746031746031744, 0.11134307585247043]
[1.0, 1.0, 80, 1105, 0.06751054852320675, 80, 172, 0.31746031746031744, 0.11134307585247043]
