[mu2, mu3, correctneg, falseneg, correctneg%, correctoff, falseoff, correctoff%, correct%]
[0.001, 0.001, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.001, 0.006, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.001, 0.01, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.001, 0.06, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.006, 0.001, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.006, 0.006, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.006, 0.01, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.006, 0.06, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.01, 0.001, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.01, 0.006, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.01, 0.01, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.01, 0.06, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.06, 0.001, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.06, 0.006, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.06, 0.01, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.06, 0.06, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.1, 0.001, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.1, 0.006, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.1, 0.01, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.1, 0.06, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.6, 0.001, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.6, 0.006, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.6, 0.01, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.6, 0.06, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[1.0, 0.001, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[1.0, 0.006, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[1.0, 0.01, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[1.0, 0.06, 1185, 0, 1.0, 71, 181, 0.28174603174603174, 0.8740431454418929]
[0.001, 0.1, 80, 1105, 0.06751054852320675, 71, 181, 0.28174603174603174, 0.10508002783576896]
[0.001, 0.6, 80, 1105, 0.06751054852320675, 71, 181, 0.28174603174603174, 0.10508002783576896]
[0.001, 1.0, 80, 1105, 0.06751054852320675, 71, 181, 0.28174603174603174, 0.10508002783576896]
[0.006, 0.1, 80, 1105, 0.06751054852320675, 71, 181, 0.28174603174603174, 0.10508002783576896]
[0.006, 0.6, 80, 1105, 0.06751054852320675, 71, 181, 0.28174603174603174, 0.10508002783576896]
[0.006, 1.0, 80, 1105, 0.06751054852320675, 71, 181, 0.28174603174603174, 0.10508002783576896]
[0.01, 0.1, 80, 1105, 0.06751054852320675, 71, 181, 0.28174603174603174, 0.10508002783576896]
[0.01, 0.6, 80, 1105, 0.06751054852320675, 71, 181, 0.28174603174603174, 0.10508002783576896]
[0.01, 1.0, 80, 1105, 0.06751054852320675, 71, 181, 0.28174603174603174, 0.10508002783576896]
[0.06, 0.1, 80, 1105, 0.06751054852320675, 71, 181, 0.28174603174603174, 0.10508002783576896]
[0.06, 0.6, 80, 1105, 0.06751054852320675, 71, 181, 0.28174603174603174, 0.10508002783576896]
[0.06, 1.0, 80, 1105, 0.06751054852320675, 71, 181, 0.28174603174603174, 0.10508002783576896]
[0.1, 0.1, 80, 1105, 0.06751054852320675, 71, 181, 0.28174603174603174, 0.10508002783576896]
[0.1, 0.6, 80, 1105, 0.06751054852320675, 71, 181, 0.28174603174603174, 0.10508002783576896]
[0.1, 1.0, 80, 1105, 0.06751054852320675, 71, 181, 0.28174603174603174, 0.10508002783576896]
[0.6, 0.1, 80, 1105, 0.06751054852320675, 71, 181, 0.28174603174603174, 0.10508002783576896]
[0.6, 0.6, 80, 1105, 0.06751054852320675, 71, 181, 0.28174603174603174, 0.10508002783576896]
[0.6, 1.0, 80, 1105, 0.06751054852320675, 71, 181, 0.28174603174603174, 0.10508002783576896]
[1.0, 0.1, 80, 1105, 0.06751054852320675, 71, 181, 0.28174603174603174, 0.10508002783576896]
[1.0, 0.6, 80, 1105, 0.06751054852320675, 71, 181, 0.28174603174603174, 0.10508002783576896]
[1.0, 1.0, 80, 1105, 0.06751054852320675, 71, 181, 0.28174603174603174, 0.10508002783576896]
