[mu2, mu3, correctneg, falseneg, correctneg%, correctoff, falseoff, correctoff%, correct%]
[0.001, 0.001, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[0.001, 0.006, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[0.001, 0.01, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[0.001, 0.06, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[0.006, 0.001, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[0.006, 0.006, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[0.006, 0.01, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[0.006, 0.06, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[0.01, 0.001, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[0.01, 0.006, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[0.01, 0.01, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[0.01, 0.06, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[0.06, 0.001, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[0.06, 0.006, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[0.06, 0.01, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[0.06, 0.06, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[0.1, 0.001, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[0.1, 0.006, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[0.1, 0.01, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[0.1, 0.06, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[0.6, 0.001, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[0.6, 0.006, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[0.6, 0.01, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[0.6, 0.06, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[1.0, 0.001, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[1.0, 0.006, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[1.0, 0.01, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[1.0, 0.06, 1185, 0, 1.0, 80, 172, 0.31746031746031744, 0.8803061934585943]
[0.001, 0.1, 100, 1085, 0.08438818565400844, 80, 172, 0.31746031746031744, 0.12526096033402923]
[0.001, 0.6, 100, 1085, 0.08438818565400844, 80, 172, 0.31746031746031744, 0.12526096033402923]
[0.001, 1.0, 100, 1085, 0.08438818565400844, 80, 172, 0.31746031746031744, 0.12526096033402923]
[0.006, 0.1, 100, 1085, 0.08438818565400844, 80, 172, 0.31746031746031744, 0.12526096033402923]
[0.006, 0.6, 100, 1085, 0.08438818565400844, 80, 172, 0.31746031746031744, 0.12526096033402923]
[0.006, 1.0, 100, 1085, 0.08438818565400844, 80, 172, 0.31746031746031744, 0.12526096033402923]
[0.01, 0.1, 100, 1085, 0.08438818565400844, 80, 172, 0.31746031746031744, 0.12526096033402923]
[0.01, 0.6, 100, 1085, 0.08438818565400844, 80, 172, 0.31746031746031744, 0.12526096033402923]
[0.01, 1.0, 100, 1085, 0.08438818565400844, 80, 172, 0.31746031746031744, 0.12526096033402923]
[0.06, 0.1, 100, 1085, 0.08438818565400844, 80, 172, 0.31746031746031744, 0.12526096033402923]
[0.06, 0.6, 100, 1085, 0.08438818565400844, 80, 172, 0.31746031746031744, 0.12526096033402923]
[0.06, 1.0, 100, 1085, 0.08438818565400844, 80, 172, 0.31746031746031744, 0.12526096033402923]
[0.1, 0.1, 100, 1085, 0.08438818565400844, 80, 172, 0.31746031746031744, 0.12526096033402923]
[0.1, 0.6, 100, 1085, 0.08438818565400844, 80, 172, 0.31746031746031744, 0.12526096033402923]
[0.1, 1.0, 100, 1085, 0.08438818565400844, 80, 172, 0.31746031746031744, 0.12526096033402923]
[0.6, 0.1, 100, 1085, 0.08438818565400844, 80, 172, 0.31746031746031744, 0.12526096033402923]
[0.6, 0.6, 100, 1085, 0.08438818565400844, 80, 172, 0.31746031746031744, 0.12526096033402923]
[0.6, 1.0, 100, 1085, 0.08438818565400844, 80, 172, 0.31746031746031744, 0.12526096033402923]
[1.0, 0.1, 100, 1085, 0.08438818565400844, 80, 172, 0.31746031746031744, 0.12526096033402923]
[1.0, 0.6, 100, 1085, 0.08438818565400844, 80, 172, 0.31746031746031744, 0.12526096033402923]
[1.0, 1.0, 100, 1085, 0.08438818565400844, 80, 172, 0.31746031746031744, 0.12526096033402923]
