[mu2, mu3, correctneg, falseneg, correctneg%, correctoff, falseoff, correctoff%, correct%]
[0.001, 0.001, 1272, 0, 1.0, 80, 170, 0.32, 0.8883048620236531, 0]
[0.001, 0.006, 1272, 0, 1.0, 80, 170, 0.32, 0.8883048620236531, 0]
[0.001, 0.01, 1272, 0, 1.0, 80, 170, 0.32, 0.8883048620236531, 0]
[0.006, 0.001, 1272, 0, 1.0, 80, 170, 0.32, 0.8883048620236531, 0]
[0.006, 0.006, 1272, 0, 1.0, 80, 170, 0.32, 0.8883048620236531, 0]
[0.006, 0.01, 1272, 0, 1.0, 80, 170, 0.32, 0.8883048620236531, 0]
[0.01, 0.001, 1272, 0, 1.0, 80, 170, 0.32, 0.8883048620236531, 0]
[0.01, 0.006, 1272, 0, 1.0, 80, 170, 0.32, 0.8883048620236531, 0]
[0.01, 0.01, 1272, 0, 1.0, 80, 170, 0.32, 0.8883048620236531, 0]
[0.06, 0.001, 1272, 0, 1.0, 80, 170, 0.32, 0.8883048620236531, 0]
[0.06, 0.006, 1272, 0, 1.0, 80, 170, 0.32, 0.8883048620236531, 0]
[0.06, 0.01, 1272, 0, 1.0, 80, 170, 0.32, 0.8883048620236531, 0]
[0.06, 0.06, 1272, 0, 1.0, 80, 170, 0.32, 0.8883048620236531, 0]
[0.06, 0.1, 1272, 0, 1.0, 80, 170, 0.32, 0.8883048620236531, 0]
[0.1, 0.001, 1272, 0, 1.0, 80, 170, 0.32, 0.8883048620236531, 0]
[0.1, 0.006, 1272, 0, 1.0, 80, 170, 0.32, 0.8883048620236531, 0]
[0.1, 0.01, 1272, 0, 1.0, 80, 170, 0.32, 0.8883048620236531, 0]
[0.1, 0.06, 1272, 0, 1.0, 80, 170, 0.32, 0.8883048620236531, 0]
[0.1, 0.1, 1272, 0, 1.0, 80, 170, 0.32, 0.8883048620236531, 0]
[0.6, 0.6, 1272, 0, 1.0, 26, 224, 0.104, 0.8528252299605782, 0]
[0.6, 0.01, 1272, 0, 1.0, 24, 226, 0.096, 0.8515111695137977, 0]
[0.6, 0.06, 1272, 0, 1.0, 24, 226, 0.096, 0.8515111695137977, 0]
[0.6, 0.1, 1272, 0, 1.0, 24, 226, 0.096, 0.8515111695137977, 0]
[0.6, 0.001, 1272, 0, 1.0, 23, 227, 0.092, 0.8508541392904073, 0]
[0.6, 0.006, 1272, 0, 1.0, 23, 227, 0.092, 0.8508541392904073, 0]
[0.01, 0.06, 1196, 76, 0.940251572327044, 80, 170, 0.32, 0.8383705650459922, 91]
[1.0, 0.001, 1272, 0, 1.0, 1, 249, 0.004, 0.8363994743758213, 0]
[1.0, 0.006, 1272, 0, 1.0, 1, 249, 0.004, 0.8363994743758213, 0]
[1.0, 0.01, 1272, 0, 1.0, 1, 249, 0.004, 0.8363994743758213, 0]
[1.0, 0.06, 1272, 0, 1.0, 1, 249, 0.004, 0.8363994743758213, 0]
[1.0, 0.1, 1272, 0, 1.0, 1, 249, 0.004, 0.8363994743758213, 0]
[1.0, 0.6, 1272, 0, 1.0, 1, 249, 0.004, 0.8363994743758213, 0]
[1.0, 1.0, 1272, 0, 1.0, 1, 249, 0.004, 0.8363994743758213, 0]
[0.001, 0.06, 100, 1172, 0.07861635220125786, 80, 170, 0.32, 0.11826544021024968, 1342]
[0.001, 0.1, 100, 1172, 0.07861635220125786, 80, 170, 0.32, 0.11826544021024968, 1342]
[0.001, 0.6, 100, 1172, 0.07861635220125786, 80, 170, 0.32, 0.11826544021024968, 1342]
[0.001, 1.0, 100, 1172, 0.07861635220125786, 80, 170, 0.32, 0.11826544021024968, 1342]
[0.006, 0.06, 100, 1172, 0.07861635220125786, 80, 170, 0.32, 0.11826544021024968, 1342]
[0.006, 0.1, 100, 1172, 0.07861635220125786, 80, 170, 0.32, 0.11826544021024968, 1342]
[0.01, 0.1, 100, 1172, 0.07861635220125786, 80, 170, 0.32, 0.11826544021024968, 1342]
[0.006, 0.6, 88, 1184, 0.06918238993710692, 66, 184, 0.264, 0.1011826544021025, 1368]
[0.006, 1.0, 78, 1194, 0.06132075471698113, 64, 186, 0.256, 0.09329829172141918, 1380]
[0.6, 1.0, 100, 1172, 0.07861635220125786, 2, 248, 0.008, 0.06701708278580815, 1420]
[0.01, 0.6, 39, 1233, 0.030660377358490566, 31, 219, 0.124, 0.045992115637319315, 1452]
[0.01, 1.0, 28, 1244, 0.0220125786163522, 17, 233, 0.068, 0.02956636005256242, 1477]
[0.06, 0.6, 4, 1268, 0.0031446540880503146, 1, 249, 0.004, 0.0032851511169513796, 1517]
[0.1, 0.6, 4, 1268, 0.0031446540880503146, 1, 249, 0.004, 0.0032851511169513796, 1517]
[0.06, 1.0, 0, 1272, 0.0, 0, 250, 0.0, 0.0, 1522]
[0.1, 1.0, 0, 1272, 0.0, 0, 250, 0.0, 0.0, 1522]
