[mu2, mu3, correctneg, falseneg, correctneg%, correctoff, falseoff, correctoff%, correct%]
[0.001, 0.006, 612, 630, 0.4927536231884058, 223, 17, 0.9291666666666667, 0.5634278002699056, 0]
[0.001, 0.001, 594, 648, 0.4782608695652174, 223, 17, 0.9291666666666667, 0.5512820512820513, 0]
[0.001, 0.01, 568, 674, 0.4573268921095008, 213, 27, 0.8875, 0.5269905533063428, 113]
[0.006, 0.01, 462, 780, 0.3719806763285024, 230, 10, 0.9583333333333334, 0.4669365721997301, 0]
[0.006, 0.006, 459, 783, 0.3695652173913043, 230, 10, 0.9583333333333334, 0.4649122807017544, 0]
[0.01, 0.01, 456, 786, 0.3671497584541063, 230, 10, 0.9583333333333334, 0.46288798920377866, 0]
[0.01, 0.001, 452, 790, 0.3639291465378422, 232, 8, 0.9666666666666667, 0.46153846153846156, 0]
[0.01, 0.006, 453, 789, 0.3647342995169082, 231, 9, 0.9625, 0.46153846153846156, 0]
[0.006, 0.001, 451, 791, 0.36312399355877617, 231, 9, 0.9625, 0.4601889338731444, 0]
[0.06, 0.06, 400, 842, 0.322061191626409, 230, 10, 0.9583333333333334, 0.4251012145748988, 0]
[0.06, 0.01, 390, 852, 0.3140096618357488, 230, 10, 0.9583333333333334, 0.4183535762483131, 0]
[0.06, 0.001, 388, 854, 0.31239935587761675, 230, 10, 0.9583333333333334, 0.41700404858299595, 0]
[0.06, 0.006, 388, 854, 0.31239935587761675, 230, 10, 0.9583333333333334, 0.41700404858299595, 0]
[0.06, 0.1, 361, 881, 0.29066022544283415, 221, 19, 0.9208333333333333, 0.39271255060728744, 107]
[0.1, 0.1, 297, 945, 0.2391304347826087, 235, 5, 0.9791666666666666, 0.358974358974359, 0]
[0.1, 0.06, 292, 950, 0.23510466988727857, 235, 5, 0.9791666666666666, 0.35560053981106615, 0]
[0.1, 0.001, 286, 956, 0.23027375201288244, 235, 5, 0.9791666666666666, 0.3515519568151147, 0]
[0.1, 0.006, 286, 956, 0.23027375201288244, 235, 5, 0.9791666666666666, 0.3515519568151147, 0]
[0.1, 0.01, 286, 956, 0.23027375201288244, 235, 5, 0.9791666666666666, 0.3515519568151147, 0]
[0.6, 0.001, 71, 1171, 0.0571658615136876, 240, 0, 1.0, 0.20985155195681512, 0]
[0.6, 0.006, 71, 1171, 0.0571658615136876, 240, 0, 1.0, 0.20985155195681512, 0]
[0.6, 0.01, 71, 1171, 0.0571658615136876, 240, 0, 1.0, 0.20985155195681512, 0]
[0.6, 0.06, 71, 1171, 0.0571658615136876, 240, 0, 1.0, 0.20985155195681512, 0]
[0.6, 0.1, 71, 1171, 0.0571658615136876, 240, 0, 1.0, 0.20985155195681512, 0]
[1.0, 0.001, 70, 1172, 0.05636070853462158, 240, 0, 1.0, 0.20917678812415655, 0]
[1.0, 0.006, 70, 1172, 0.05636070853462158, 240, 0, 1.0, 0.20917678812415655, 0]
[1.0, 0.01, 70, 1172, 0.05636070853462158, 240, 0, 1.0, 0.20917678812415655, 0]
[1.0, 0.06, 70, 1172, 0.05636070853462158, 240, 0, 1.0, 0.20917678812415655, 0]
[1.0, 0.1, 70, 1172, 0.05636070853462158, 240, 0, 1.0, 0.20917678812415655, 0]
[1.0, 0.6, 70, 1172, 0.05636070853462158, 240, 0, 1.0, 0.20917678812415655, 0]
[0.6, 0.6, 70, 1172, 0.05636070853462158, 190, 50, 0.7916666666666666, 0.17543859649122806, 409]
[1.0, 1.0, 70, 1172, 0.05636070853462158, 127, 113, 0.5291666666666667, 0.1329284750337382, 908]
[0.001, 0.06, 70, 1172, 0.05636070853462158, 70, 170, 0.2916666666666667, 0.09446693657219973, 1342]
[0.001, 0.1, 70, 1172, 0.05636070853462158, 70, 170, 0.2916666666666667, 0.09446693657219973, 1342]
[0.001, 0.6, 70, 1172, 0.05636070853462158, 70, 170, 0.2916666666666667, 0.09446693657219973, 1342]
[0.001, 1.0, 70, 1172, 0.05636070853462158, 70, 170, 0.2916666666666667, 0.09446693657219973, 1342]
[0.006, 0.06, 70, 1172, 0.05636070853462158, 70, 170, 0.2916666666666667, 0.09446693657219973, 1342]
[0.006, 0.1, 70, 1172, 0.05636070853462158, 70, 170, 0.2916666666666667, 0.09446693657219973, 1342]
[0.01, 0.06, 70, 1172, 0.05636070853462158, 70, 170, 0.2916666666666667, 0.09446693657219973, 1342]
[0.01, 0.1, 70, 1172, 0.05636070853462158, 70, 170, 0.2916666666666667, 0.09446693657219973, 1342]
[0.006, 0.6, 53, 1189, 0.0426731078904992, 58, 182, 0.24166666666666667, 0.07489878542510121, 1371]
[0.006, 1.0, 46, 1196, 0.037037037037037035, 54, 186, 0.225, 0.06747638326585695, 1382]
[0.01, 0.6, 22, 1220, 0.017713365539452495, 19, 221, 0.07916666666666666, 0.02766531713900135, 1441]
[0.01, 1.0, 18, 1224, 0.014492753623188406, 10, 230, 0.041666666666666664, 0.018893387314439947, 1454]
[0.06, 0.6, 0, 1242, 0.0, 1, 239, 0.004166666666666667, 0.0006747638326585695, 1481]
[0.6, 1.0, 0, 1242, 0.0, 1, 239, 0.004166666666666667, 0.0006747638326585695, 1481]
[0.06, 1.0, 0, 1242, 0.0, 0, 240, 0.0, 0.0, 1482]
[0.1, 0.6, 0, 1242, 0.0, 0, 240, 0.0, 0.0, 1482]
[0.1, 1.0, 0, 1242, 0.0, 0, 240, 0.0, 0.0, 1482]
