[mu2, mu3, correctneg, falseneg, correctneg%, correctoff, falseoff, correctoff%, correct%]
[0.001, 0.001, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[0.001, 0.006, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[0.001, 0.01, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[0.006, 0.001, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[0.006, 0.006, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[0.006, 0.01, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[0.01, 0.001, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[0.01, 0.006, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[0.01, 0.01, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[0.06, 0.001, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[0.06, 0.006, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[0.06, 0.01, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[0.06, 0.06, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[0.06, 0.1, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[0.1, 0.001, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[0.1, 0.006, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[0.1, 0.01, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[0.1, 0.06, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[0.1, 0.1, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[0.6, 0.001, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[0.6, 0.006, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[0.6, 0.01, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[0.6, 0.06, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[0.6, 0.1, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[0.6, 0.6, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[1.0, 0.001, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[1.0, 0.006, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[1.0, 0.01, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[1.0, 0.06, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[1.0, 0.1, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[1.0, 0.6, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[1.0, 1.0, 0, 1272, 0.0, 270, 0, 1.0, 0.17509727626459143, 0]
[0.01, 0.06, 0, 1272, 0.0, 259, 11, 0.9592592592592593, 0.16796368352788585, 128]
[0.001, 0.06, 0, 1272, 0.0, 100, 170, 0.37037037037037035, 0.0648508430609598, 1442]
[0.001, 0.1, 0, 1272, 0.0, 100, 170, 0.37037037037037035, 0.0648508430609598, 1442]
[0.001, 0.6, 0, 1272, 0.0, 100, 170, 0.37037037037037035, 0.0648508430609598, 1442]
[0.001, 1.0, 0, 1272, 0.0, 100, 170, 0.37037037037037035, 0.0648508430609598, 1442]
[0.006, 0.06, 0, 1272, 0.0, 100, 170, 0.37037037037037035, 0.0648508430609598, 1442]
[0.006, 0.1, 0, 1272, 0.0, 100, 170, 0.37037037037037035, 0.0648508430609598, 1442]
[0.01, 0.1, 0, 1272, 0.0, 100, 170, 0.37037037037037035, 0.0648508430609598, 1442]
[0.6, 1.0, 0, 1272, 0.0, 100, 170, 0.37037037037037035, 0.0648508430609598, 1442]
[0.006, 0.6, 0, 1272, 0.0, 77, 193, 0.2851851851851852, 0.04993514915693904, 1465]
[0.006, 1.0, 0, 1272, 0.0, 67, 203, 0.24814814814814815, 0.04345006485084306, 1475]
[0.01, 0.6, 0, 1272, 0.0, 24, 246, 0.08888888888888889, 0.01556420233463035, 1518]
[0.01, 1.0, 0, 1272, 0.0, 14, 256, 0.05185185185185185, 0.009079118028534372, 1528]
[0.06, 0.6, 0, 1272, 0.0, 1, 269, 0.003703703703703704, 0.0006485084306095979, 1541]
[0.1, 0.6, 0, 1272, 0.0, 1, 269, 0.003703703703703704, 0.0006485084306095979, 1541]
[0.06, 1.0, 0, 1272, 0.0, 0, 270, 0.0, 0.0, 1542]
[0.1, 1.0, 0, 1272, 0.0, 0, 270, 0.0, 0.0, 1542]
