[mu2, mu3, correctneg, falseneg, correctneg%, correctoff, falseoff, correctoff%, correct%]
[0.1, 0.001, 1219, 33, 0.9736421725239617, 121, 129, 0.484, 0.8921438082556591, 0]
[0.1, 0.006, 1219, 33, 0.9736421725239617, 121, 129, 0.484, 0.8921438082556591, 0]
[0.1, 0.01, 1219, 33, 0.9736421725239617, 121, 129, 0.484, 0.8921438082556591, 0]
[0.1, 0.06, 1217, 35, 0.9720447284345048, 121, 129, 0.484, 0.8908122503328895, 0]
[0.1, 0.1, 1214, 38, 0.9696485623003195, 121, 129, 0.484, 0.888814913448735, 0]
[0.6, 0.001, 1252, 0, 1.0, 80, 170, 0.32, 0.8868175765645806, 0]
[0.6, 0.006, 1252, 0, 1.0, 80, 170, 0.32, 0.8868175765645806, 0]
[0.6, 0.01, 1252, 0, 1.0, 80, 170, 0.32, 0.8868175765645806, 0]
[0.6, 0.06, 1252, 0, 1.0, 80, 170, 0.32, 0.8868175765645806, 0]
[0.6, 0.1, 1252, 0, 1.0, 80, 170, 0.32, 0.8868175765645806, 0]
[0.6, 0.6, 1252, 0, 1.0, 80, 170, 0.32, 0.8868175765645806, 0]
[1.0, 0.001, 1252, 0, 1.0, 80, 170, 0.32, 0.8868175765645806, 0]
[1.0, 0.006, 1252, 0, 1.0, 80, 170, 0.32, 0.8868175765645806, 0]
[1.0, 0.01, 1252, 0, 1.0, 80, 170, 0.32, 0.8868175765645806, 0]
[1.0, 0.06, 1252, 0, 1.0, 80, 170, 0.32, 0.8868175765645806, 0]
[1.0, 0.1, 1252, 0, 1.0, 80, 170, 0.32, 0.8868175765645806, 0]
[1.0, 0.6, 1252, 0, 1.0, 80, 170, 0.32, 0.8868175765645806, 0]
[1.0, 1.0, 1252, 0, 1.0, 80, 170, 0.32, 0.8868175765645806, 0]
[0.06, 0.001, 1124, 128, 0.8977635782747604, 159, 91, 0.636, 0.8541944074567244, 0]
[0.06, 0.006, 1123, 129, 0.896964856230032, 160, 90, 0.64, 0.8541944074567244, 0]
[0.06, 0.01, 1123, 129, 0.896964856230032, 160, 90, 0.64, 0.8541944074567244, 0]
[0.06, 0.06, 1116, 136, 0.8913738019169329, 161, 89, 0.644, 0.8501997336884154, 0]
[0.06, 0.1, 1113, 139, 0.8889776357827476, 161, 89, 0.644, 0.848202396804261, 0]
[0.001, 0.001, 982, 270, 0.7843450479233227, 180, 70, 0.72, 0.7736351531291611, 0]
[0.001, 0.006, 970, 282, 0.7747603833865815, 183, 67, 0.732, 0.7676431424766977, 0]
[0.001, 0.01, 954, 298, 0.7619808306709265, 183, 67, 0.732, 0.7569906790945407, 1]
[0.006, 0.001, 886, 366, 0.707667731629393, 197, 53, 0.788, 0.7210386151797603, 0]
[0.006, 0.006, 886, 366, 0.707667731629393, 197, 53, 0.788, 0.7210386151797603, 0]
[0.006, 0.01, 884, 368, 0.7060702875399361, 197, 53, 0.788, 0.7197070572569907, 0]
[0.01, 0.001, 882, 370, 0.7044728434504792, 197, 53, 0.788, 0.7183754993342211, 0]
[0.01, 0.006, 881, 371, 0.7036741214057508, 197, 53, 0.788, 0.7177097203728362, 0]
[0.01, 0.01, 881, 371, 0.7036741214057508, 197, 53, 0.788, 0.7177097203728362, 0]
[0.001, 0.06, 80, 1172, 0.06389776357827476, 80, 170, 0.32, 0.10652463382157124, 1342]
[0.001, 0.1, 80, 1172, 0.06389776357827476, 80, 170, 0.32, 0.10652463382157124, 1342]
[0.001, 0.6, 80, 1172, 0.06389776357827476, 80, 170, 0.32, 0.10652463382157124, 1342]
[0.001, 1.0, 80, 1172, 0.06389776357827476, 80, 170, 0.32, 0.10652463382157124, 1342]
[0.006, 0.06, 80, 1172, 0.06389776357827476, 80, 170, 0.32, 0.10652463382157124, 1342]
[0.006, 0.1, 80, 1172, 0.06389776357827476, 80, 170, 0.32, 0.10652463382157124, 1342]
[0.01, 0.06, 80, 1172, 0.06389776357827476, 80, 170, 0.32, 0.10652463382157124, 1342]
[0.01, 0.1, 80, 1172, 0.06389776357827476, 80, 170, 0.32, 0.10652463382157124, 1342]
[0.006, 0.6, 58, 1194, 0.0463258785942492, 64, 186, 0.256, 0.08122503328894808, 1380]
[0.006, 1.0, 51, 1201, 0.04073482428115016, 58, 192, 0.232, 0.07256990679094541, 1393]
[0.01, 0.6, 23, 1229, 0.018370607028753993, 22, 228, 0.088, 0.02996005326231691, 1457]
[0.01, 1.0, 18, 1234, 0.01437699680511182, 16, 234, 0.064, 0.022636484687083888, 1468]
[0.6, 1.0, 12, 1240, 0.009584664536741214, 4, 246, 0.016, 0.010652463382157125, 1486]
[0.06, 0.6, 1, 1251, 0.0007987220447284345, 0, 250, 0.0, 0.0006657789613848203, 1501]
[0.1, 0.6, 1, 1251, 0.0007987220447284345, 0, 250, 0.0, 0.0006657789613848203, 1501]
[0.06, 1.0, 0, 1252, 0.0, 0, 250, 0.0, 0.0, 1502]
[0.1, 1.0, 0, 1252, 0.0, 0, 250, 0.0, 0.0, 1502]
