[mu2, mu3, correctneg, falseneg, correctoff, falseoff, correctoff%, negative/offensive]
[0.09, 0.05, 89, 9, 218, 1100, 0.165402124430956, 'neg: 98/off: 1318']
[0.09, 0.06, 88, 9, 218, 1101, 0.1652767247915087, 'neg: 97/off: 1319']
[0.09, 0.07, 88, 9, 218, 1101, 0.1652767247915087, 'neg: 97/off: 1319']
[0.09, 0.08, 88, 9, 218, 1101, 0.1652767247915087, 'neg: 97/off: 1319']
[0.09, 0.09, 88, 9, 218, 1101, 0.1652767247915087, 'neg: 97/off: 1319']
[0.1, 0.06, 80, 9, 218, 1109, 0.16428033157498115, 'neg: 89/off: 1327']
[0.1, 0.07, 80, 9, 218, 1109, 0.16428033157498115, 'neg: 89/off: 1327']
[0.1, 0.08, 80, 9, 218, 1109, 0.16428033157498115, 'neg: 89/off: 1327']
[0.1, 0.09, 80, 9, 218, 1109, 0.16428033157498115, 'neg: 89/off: 1327']
[0.1, 0.1, 80, 9, 218, 1109, 0.16428033157498115, 'neg: 89/off: 1327']
[0.1, 0.05, 81, 10, 217, 1108, 0.16377358490566038, 'neg: 91/off: 1325']
[0.1, 0.04, 79, 11, 216, 1110, 0.16289592760180996, 'neg: 90/off: 1326']
[0.1, 0.03, 1027, 225, 11, 153, 0.06707317073170732, 'neg: 1252/off: 164']
[0.01, 0.01, 939, 215, 17, 245, 0.0648854961832061, 'neg: 1154/off: 262']
[0.09, 0.03, 1009, 213, 12, 182, 0.061855670103092786, 'neg: 1222/off: 194']
[0.05, 0.02, 984, 222, 11, 199, 0.05238095238095238, 'neg: 1206/off: 210']
[0.04, 0.02, 933, 187, 14, 282, 0.0472972972972973, 'neg: 1120/off: 296']
[0.02, 0.01, 967, 233, 9, 207, 0.041666666666666664, 'neg: 1200/off: 216']
[0.08, 0.03, 898, 139, 15, 364, 0.0395778364116095, 'neg: 1037/off: 379']
[0.07, 0.02, 1019, 236, 6, 155, 0.037267080745341616, 'neg: 1255/off: 161']
[0.03, 0.01, 978, 238, 7, 193, 0.035, 'neg: 1216/off: 200']
[0.06, 0.02, 1011, 232, 6, 167, 0.03468208092485549, 'neg: 1243/off: 173']
[0.05, 0.01, 1011, 240, 5, 160, 0.030303030303030304, 'neg: 1251/off: 165']
[0.03, 0.02, 141, 5, 38, 1232, 0.029921259842519685, 'neg: 146/off: 1270']
[0.07, 0.03, 87, 9, 39, 1281, 0.029545454545454545, 'neg: 96/off: 1320']
[0.07, 0.01, 1038, 241, 4, 133, 0.029197080291970802, 'neg: 1279/off: 137']
[0.06, 0.01, 1028, 241, 4, 143, 0.027210884353741496, 'neg: 1269/off: 147']
[0.04, 0.01, 992, 240, 5, 179, 0.02717391304347826, 'neg: 1232/off: 184']
[0.09, 0.02, 1046, 242, 3, 125, 0.0234375, 'neg: 1288/off: 128']
[0.08, 0.02, 1031, 240, 3, 142, 0.020689655172413793, 'neg: 1271/off: 145']
[0.1, 0.02, 1056, 244, 2, 114, 0.017241379310344827, 'neg: 1300/off: 116']
[0.08, 0.01, 1045, 243, 2, 126, 0.015625, 'neg: 1288/off: 128']
[0.1, 0.01, 1068, 244, 1, 103, 0.009615384615384616, 'neg: 1312/off: 104']
[0.09, 0.01, 1060, 244, 1, 111, 0.008928571428571428, 'neg: 1304/off: 112']
