[mu2, mu3, correctneg, falseneg, correctneg%, correctoff, falseoff, correctoff%, correct%]
[0.01, 0.01, 1142, 43, 0.9637130801687763, 143, 207, 0.4085714285714286, 0.8371335504885994]
[0.06, 0.1, 1180, 5, 0.9957805907172996, 104, 246, 0.29714285714285715, 0.8364820846905537]
[0.01, 0.001, 1143, 42, 0.9645569620253165, 140, 210, 0.4, 0.8358306188925081]
[0.01, 0.006, 1142, 43, 0.9637130801687763, 141, 209, 0.40285714285714286, 0.8358306188925081]
[0.06, 0.06, 1181, 4, 0.9966244725738397, 98, 252, 0.28, 0.8332247557003257]
[0.06, 0.001, 1181, 4, 0.9966244725738397, 96, 254, 0.2742857142857143, 0.8319218241042345]
[0.06, 0.006, 1181, 4, 0.9966244725738397, 96, 254, 0.2742857142857143, 0.8319218241042345]
[0.06, 0.01, 1181, 4, 0.9966244725738397, 96, 254, 0.2742857142857143, 0.8319218241042345]
[0.006, 0.001, 1121, 64, 0.9459915611814346, 154, 196, 0.44, 0.8306188925081434]
[0.006, 0.006, 1118, 67, 0.9434599156118143, 155, 195, 0.44285714285714284, 0.8293159609120521]
[0.006, 0.01, 1117, 68, 0.9426160337552743, 155, 195, 0.44285714285714284, 0.8286644951140065]
[0.1, 0.1, 1184, 1, 0.99915611814346, 87, 263, 0.24857142857142858, 0.8280130293159609]
[0.1, 0.001, 1184, 1, 0.99915611814346, 86, 264, 0.24571428571428572, 0.8273615635179153]
[0.1, 0.006, 1184, 1, 0.99915611814346, 86, 264, 0.24571428571428572, 0.8273615635179153]
[0.1, 0.01, 1184, 1, 0.99915611814346, 86, 264, 0.24571428571428572, 0.8273615635179153]
[0.1, 0.06, 1184, 1, 0.99915611814346, 86, 264, 0.24571428571428572, 0.8273615635179153]
[0.6, 0.001, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[0.6, 0.006, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[0.6, 0.01, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[0.6, 0.06, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[0.6, 0.1, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[1.0, 0.001, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[1.0, 0.006, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[1.0, 0.01, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[1.0, 0.06, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[1.0, 0.1, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[1.0, 0.6, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[0.6, 0.6, 1184, 1, 0.99915611814346, 79, 271, 0.2257142857142857, 0.8228013029315961]
[1.0, 1.0, 1175, 10, 0.9915611814345991, 79, 271, 0.2257142857142857, 0.8169381107491857]
[0.001, 0.001, 1075, 110, 0.9071729957805907, 168, 182, 0.48, 0.8097719869706841]
[0.001, 0.006, 1058, 127, 0.8928270042194093, 176, 174, 0.5028571428571429, 0.8039087947882736]
[0.001, 0.01, 1048, 137, 0.8843881856540085, 180, 170, 0.5142857142857142, 0.8]
[0.001, 0.06, 83, 1102, 0.070042194092827, 79, 271, 0.2257142857142857, 0.10553745928338762]
[0.001, 0.1, 83, 1102, 0.070042194092827, 79, 271, 0.2257142857142857, 0.10553745928338762]
[0.001, 0.6, 83, 1102, 0.070042194092827, 79, 271, 0.2257142857142857, 0.10553745928338762]
[0.001, 1.0, 83, 1102, 0.070042194092827, 79, 271, 0.2257142857142857, 0.10553745928338762]
[0.006, 0.06, 83, 1102, 0.070042194092827, 79, 271, 0.2257142857142857, 0.10553745928338762]
[0.006, 0.1, 83, 1102, 0.070042194092827, 79, 271, 0.2257142857142857, 0.10553745928338762]
[0.01, 0.06, 83, 1102, 0.070042194092827, 79, 271, 0.2257142857142857, 0.10553745928338762]
[0.01, 0.1, 83, 1102, 0.070042194092827, 79, 271, 0.2257142857142857, 0.10553745928338762]
[0.006, 0.6, 72, 1113, 0.060759493670886074, 64, 286, 0.18285714285714286, 0.08859934853420195]
[0.006, 1.0, 65, 1120, 0.05485232067510549, 61, 289, 0.1742857142857143, 0.08208469055374593]
[0.01, 0.6, 27, 1158, 0.02278481012658228, 28, 322, 0.08, 0.035830618892508145]
[0.01, 1.0, 20, 1165, 0.016877637130801686, 15, 335, 0.04285714285714286, 0.02280130293159609]
[0.6, 1.0, 10, 1175, 0.008438818565400843, 3, 347, 0.008571428571428572, 0.008469055374592834]
[0.06, 0.6, 1, 1184, 0.0008438818565400844, 1, 349, 0.002857142857142857, 0.0013029315960912053]
[0.1, 0.6, 1, 1184, 0.0008438818565400844, 1, 349, 0.002857142857142857, 0.0013029315960912053]
[0.06, 1.0, 0, 1185, 0.0, 0, 350, 0.0, 0.0]
[0.1, 1.0, 0, 1185, 0.0, 0, 350, 0.0, 0.0]
