most_frequent_words_seeds_80_71, 0.001, 0.006, 177, 1008, 0.14936708860759493, 315, 35, 0.9, 0.3205211726384365
most_frequent_words_seeds_100_71, 0.001, 0.001, 69, 1116, 0.05822784810126582, 350, 0, 1.0, 0.2729641693811075
most_frequent_words_seeds_90_71, 0.001, 0.001, 69, 1116, 0.05822784810126582, 350, 0, 1.0, 0.2729641693811075
most_frequent_words_seeds_90_100, 0.001, 0.01, 1185, 0, 1.0, 84, 266, 0.24, 0.8267100977198697
most_frequent_words_seeds_80_90, 0.001, 0.006, 1185, 0, 1.0, 78, 272, 0.22285714285714286, 0.8228013029315961
most_frequent_words_seeds_90_80, 0.001, 0.01, 142, 1043, 0.11983122362869199, 324, 26, 0.9257142857142857, 0.3035830618892508
most_frequent_words_seeds_100_80, 0.001, 0.001, 76, 1109, 0.06413502109704641, 350, 0, 1.0, 0.2775244299674267
most_frequent_words_seeds_100_100, 0.01, 0.001, 1143, 42, 0.9645569620253165, 151, 199, 0.43142857142857144, 0.8429967426710098
most_frequent_words_seeds_71_80, 0.001, 0.001, 1185, 0, 1.0, 66, 284, 0.18857142857142858, 0.8149837133550488
most_frequent_words_seeds_71_100, 0.001, 0.001, 1185, 0, 1.0, 65, 285, 0.18571428571428572, 0.8143322475570033
most_frequent_words_seeds_90_90, 0.01, 0.01, 1142, 43, 0.9637130801687763, 143, 207, 0.4085714285714286, 0.8371335504885994
most_frequent_words_seeds_100_90, 0.001, 0.006, 111, 1074, 0.09367088607594937, 333, 17, 0.9514285714285714, 0.28925081433224753
most_frequent_words_seeds_71_90, 0.001, 0.001, 1185, 0, 1.0, 65, 285, 0.18571428571428572, 0.8143322475570033
most_frequent_words_seeds_71_71, 0.006, 0.006, 1175, 10, 0.9915611814345991, 99, 251, 0.28285714285714286, 0.8299674267100977
most_frequent_words_seeds_80_100, 0.001, 0.001, 1185, 0, 1.0, 72, 278, 0.2057142857142857, 0.8188925081433225
most_frequent_words_seeds_80_80, 0.01, 0.001, 1160, 25, 0.9789029535864979, 123, 227, 0.3514285714285714, 0.8358306188925081
