[mu2, mu3, correctneg, falseneg, correctneg%, correctoff, falseoff, correctoff%, correct%]
[0.6, 0.001, 1242, 0, 1.0, 70, 170, 0.2916666666666667, 0.8852901484480432, 0]
[0.6, 0.006, 1242, 0, 1.0, 70, 170, 0.2916666666666667, 0.8852901484480432, 0]
[0.6, 0.01, 1242, 0, 1.0, 70, 170, 0.2916666666666667, 0.8852901484480432, 0]
[0.6, 0.06, 1242, 0, 1.0, 70, 170, 0.2916666666666667, 0.8852901484480432, 0]
[0.6, 0.1, 1242, 0, 1.0, 70, 170, 0.2916666666666667, 0.8852901484480432, 0]
[1.0, 0.001, 1242, 0, 1.0, 70, 170, 0.2916666666666667, 0.8852901484480432, 0]
[1.0, 0.006, 1242, 0, 1.0, 70, 170, 0.2916666666666667, 0.8852901484480432, 0]
[1.0, 0.01, 1242, 0, 1.0, 70, 170, 0.2916666666666667, 0.8852901484480432, 0]
[1.0, 0.06, 1242, 0, 1.0, 70, 170, 0.2916666666666667, 0.8852901484480432, 0]
[1.0, 0.1, 1242, 0, 1.0, 70, 170, 0.2916666666666667, 0.8852901484480432, 0]
[1.0, 0.6, 1242, 0, 1.0, 70, 170, 0.2916666666666667, 0.8852901484480432, 0]
[0.1, 0.001, 1191, 51, 0.9589371980676329, 113, 127, 0.4708333333333333, 0.8798920377867746, 0]
[0.1, 0.006, 1191, 51, 0.9589371980676329, 113, 127, 0.4708333333333333, 0.8798920377867746, 0]
[0.1, 0.01, 1191, 51, 0.9589371980676329, 113, 127, 0.4708333333333333, 0.8798920377867746, 0]
[0.1, 0.06, 1187, 55, 0.9557165861513688, 115, 125, 0.4791666666666667, 0.8785425101214575, 0]
[0.1, 0.1, 1187, 55, 0.9557165861513688, 115, 125, 0.4791666666666667, 0.8785425101214575, 0]
[0.06, 0.001, 1096, 146, 0.8824476650563607, 150, 90, 0.625, 0.8407557354925776, 0]
[0.06, 0.006, 1096, 146, 0.8824476650563607, 150, 90, 0.625, 0.8407557354925776, 0]
[0.06, 0.01, 1095, 147, 0.8816425120772947, 150, 90, 0.625, 0.840080971659919, 0]
[0.06, 0.06, 1091, 151, 0.8784219001610306, 150, 90, 0.625, 0.8373819163292847, 0]
[0.06, 0.1, 1041, 201, 0.8381642512077294, 148, 92, 0.6166666666666667, 0.8022941970310391, 73]
[0.6, 0.6, 1119, 123, 0.9009661835748792, 70, 170, 0.2916666666666667, 0.8022941970310391, 135]
[0.001, 0.001, 974, 268, 0.784219001610306, 168, 72, 0.7, 0.7705802968960864, 0]
[0.001, 0.006, 957, 285, 0.7705314009661836, 169, 71, 0.7041666666666667, 0.7597840755735492, 0]
[0.001, 0.01, 911, 331, 0.7334943639291466, 167, 73, 0.6958333333333333, 0.7273954116059379, 66]
[0.006, 0.01, 866, 376, 0.6972624798711755, 183, 57, 0.7625, 0.7078272604588394, 0]
[0.006, 0.001, 866, 376, 0.6972624798711755, 182, 58, 0.7583333333333333, 0.7071524966261808, 0]
[0.006, 0.006, 866, 376, 0.6972624798711755, 182, 58, 0.7583333333333333, 0.7071524966261808, 0]
[0.01, 0.001, 861, 381, 0.6932367149758454, 184, 56, 0.7666666666666667, 0.7051282051282052, 0]
[0.01, 0.006, 861, 381, 0.6932367149758454, 184, 56, 0.7666666666666667, 0.7051282051282052, 0]
[0.01, 0.01, 860, 382, 0.6924315619967794, 185, 55, 0.7708333333333334, 0.7051282051282052, 0]
[1.0, 1.0, 941, 301, 0.7576489533011272, 70, 170, 0.2916666666666667, 0.6821862348178138, 346]
[0.001, 0.06, 70, 1172, 0.05636070853462158, 70, 170, 0.2916666666666667, 0.09446693657219973, 1342]
[0.001, 0.1, 70, 1172, 0.05636070853462158, 70, 170, 0.2916666666666667, 0.09446693657219973, 1342]
[0.001, 0.6, 70, 1172, 0.05636070853462158, 70, 170, 0.2916666666666667, 0.09446693657219973, 1342]
[0.001, 1.0, 70, 1172, 0.05636070853462158, 70, 170, 0.2916666666666667, 0.09446693657219973, 1342]
[0.006, 0.06, 70, 1172, 0.05636070853462158, 70, 170, 0.2916666666666667, 0.09446693657219973, 1342]
[0.006, 0.1, 70, 1172, 0.05636070853462158, 70, 170, 0.2916666666666667, 0.09446693657219973, 1342]
[0.01, 0.06, 70, 1172, 0.05636070853462158, 70, 170, 0.2916666666666667, 0.09446693657219973, 1342]
[0.01, 0.1, 70, 1172, 0.05636070853462158, 70, 170, 0.2916666666666667, 0.09446693657219973, 1342]
[0.006, 0.6, 47, 1195, 0.03784219001610306, 53, 187, 0.22083333333333333, 0.06747638326585695, 1382]
[0.006, 1.0, 41, 1201, 0.033011272141706925, 48, 192, 0.2, 0.06005398110661268, 1393]
[0.01, 0.6, 18, 1224, 0.014492753623188406, 17, 223, 0.07083333333333333, 0.023616734143049933, 1447]
[0.01, 1.0, 14, 1228, 0.011272141706924315, 12, 228, 0.05, 0.017543859649122806, 1456]
[0.6, 1.0, 1, 1241, 0.0008051529790660225, 0, 240, 0.0, 0.0006747638326585695, 1481]
[0.06, 0.6, 0, 1242, 0.0, 0, 240, 0.0, 0.0, 1482]
[0.06, 1.0, 0, 1242, 0.0, 0, 240, 0.0, 0.0, 1482]
[0.1, 0.6, 0, 1242, 0.0, 0, 240, 0.0, 0.0, 1482]
[0.1, 1.0, 0, 1242, 0.0, 0, 240, 0.0, 0.0, 1482]
