[mu2, mu3, correctneg, falseneg, correctneg%, correctoff, falseoff, correctoff%, correct%]
[0.001, 0.01, 1185, 0, 1.0, 84, 266, 0.24, 0.8267100977198697]
[0.001, 0.006, 1185, 0, 1.0, 82, 268, 0.2342857142857143, 0.8254071661237785]
[0.001, 0.001, 1185, 0, 1.0, 81, 269, 0.23142857142857143, 0.8247557003257329]
[0.006, 0.001, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[0.006, 0.006, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[0.006, 0.01, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[0.01, 0.001, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[0.01, 0.006, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[0.01, 0.01, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[0.06, 0.001, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[0.06, 0.006, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[0.06, 0.01, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[0.06, 0.06, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[0.06, 0.1, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[0.1, 0.001, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[0.1, 0.006, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[0.1, 0.01, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[0.1, 0.06, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[0.1, 0.1, 1185, 0, 1.0, 79, 271, 0.2257142857142857, 0.8234527687296417]
[0.6, 0.6, 1185, 0, 1.0, 63, 287, 0.18, 0.8130293159609121]
[0.6, 0.1, 1185, 0, 1.0, 62, 288, 0.17714285714285713, 0.8123778501628665]
[0.6, 0.001, 1185, 0, 1.0, 60, 290, 0.17142857142857143, 0.8110749185667753]
[0.6, 0.006, 1185, 0, 1.0, 60, 290, 0.17142857142857143, 0.8110749185667753]
[0.6, 0.01, 1185, 0, 1.0, 60, 290, 0.17142857142857143, 0.8110749185667753]
[0.6, 0.06, 1185, 0, 1.0, 60, 290, 0.17142857142857143, 0.8110749185667753]
[1.0, 0.6, 1185, 0, 1.0, 20, 330, 0.05714285714285714, 0.7850162866449512]
[1.0, 1.0, 1185, 0, 1.0, 20, 330, 0.05714285714285714, 0.7850162866449512]
[1.0, 0.1, 1185, 0, 1.0, 17, 333, 0.04857142857142857, 0.7830618892508143]
[1.0, 0.001, 1185, 0, 1.0, 16, 334, 0.045714285714285714, 0.7824104234527687]
[1.0, 0.006, 1185, 0, 1.0, 16, 334, 0.045714285714285714, 0.7824104234527687]
[1.0, 0.01, 1185, 0, 1.0, 16, 334, 0.045714285714285714, 0.7824104234527687]
[1.0, 0.06, 1185, 0, 1.0, 16, 334, 0.045714285714285714, 0.7824104234527687]
[0.01, 0.06, 643, 542, 0.5426160337552742, 79, 271, 0.2257142857142857, 0.4703583061889251]
[0.001, 0.06, 92, 1093, 0.07763713080168777, 79, 271, 0.2257142857142857, 0.11140065146579804]
[0.001, 0.1, 92, 1093, 0.07763713080168777, 79, 271, 0.2257142857142857, 0.11140065146579804]
[0.001, 0.6, 92, 1093, 0.07763713080168777, 79, 271, 0.2257142857142857, 0.11140065146579804]
[0.001, 1.0, 92, 1093, 0.07763713080168777, 79, 271, 0.2257142857142857, 0.11140065146579804]
[0.006, 0.06, 92, 1093, 0.07763713080168777, 79, 271, 0.2257142857142857, 0.11140065146579804]
[0.006, 0.1, 92, 1093, 0.07763713080168777, 79, 271, 0.2257142857142857, 0.11140065146579804]
[0.01, 0.1, 92, 1093, 0.07763713080168777, 79, 271, 0.2257142857142857, 0.11140065146579804]
[0.006, 0.6, 81, 1104, 0.06835443037974684, 64, 286, 0.18285714285714286, 0.09446254071661238]
[0.006, 1.0, 72, 1113, 0.060759493670886074, 62, 288, 0.17714285714285713, 0.08729641693811074]
[0.01, 0.6, 31, 1154, 0.026160337552742614, 32, 318, 0.09142857142857143, 0.04104234527687296]
[0.6, 1.0, 48, 1137, 0.04050632911392405, 3, 347, 0.008571428571428572, 0.03322475570032573]
[0.01, 1.0, 24, 1161, 0.020253164556962026, 16, 334, 0.045714285714285714, 0.026058631921824105]
[0.06, 0.6, 1, 1184, 0.0008438818565400844, 1, 349, 0.002857142857142857, 0.0013029315960912053]
[0.1, 0.6, 1, 1184, 0.0008438818565400844, 1, 349, 0.002857142857142857, 0.0013029315960912053]
[0.06, 1.0, 0, 1185, 0.0, 0, 350, 0.0, 0.0]
[0.1, 1.0, 0, 1185, 0.0, 0, 350, 0.0, 0.0]
