[mu2, mu3, correctneg, falseneg, correctneg%, correctoff, falseoff, correctoff%, correct%]
[0.001, 0.001, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[0.001, 0.006, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[0.001, 0.01, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[0.006, 0.001, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[0.006, 0.006, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[0.006, 0.01, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[0.01, 0.001, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[0.01, 0.006, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[0.01, 0.01, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[0.06, 0.001, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[0.06, 0.006, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[0.06, 0.01, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[0.06, 0.06, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[0.06, 0.1, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[0.1, 0.001, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[0.1, 0.006, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[0.1, 0.01, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[0.1, 0.06, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[0.1, 0.1, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[0.6, 0.001, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[0.6, 0.006, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[0.6, 0.01, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[0.6, 0.06, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[0.6, 0.1, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[0.6, 0.6, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[1.0, 0.001, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[1.0, 0.006, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[1.0, 0.01, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[1.0, 0.06, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[1.0, 0.1, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[1.0, 0.6, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[1.0, 1.0, 0, 1272, 0.0, 260, 0, 1.0, 0.16971279373368145, 0]
[0.01, 0.06, 0, 1272, 0.0, 168, 92, 0.6461538461538462, 0.10966057441253264, 1187]
[0.001, 0.06, 0, 1272, 0.0, 90, 170, 0.34615384615384615, 0.0587467362924282, 1442]
[0.001, 0.1, 0, 1272, 0.0, 90, 170, 0.34615384615384615, 0.0587467362924282, 1442]
[0.001, 0.6, 0, 1272, 0.0, 90, 170, 0.34615384615384615, 0.0587467362924282, 1442]
[0.001, 1.0, 0, 1272, 0.0, 90, 170, 0.34615384615384615, 0.0587467362924282, 1442]
[0.006, 0.06, 0, 1272, 0.0, 90, 170, 0.34615384615384615, 0.0587467362924282, 1442]
[0.006, 0.1, 0, 1272, 0.0, 90, 170, 0.34615384615384615, 0.0587467362924282, 1442]
[0.01, 0.1, 0, 1272, 0.0, 90, 170, 0.34615384615384615, 0.0587467362924282, 1442]
[0.006, 0.6, 0, 1272, 0.0, 67, 193, 0.25769230769230766, 0.043733681462140996, 1465]
[0.006, 1.0, 0, 1272, 0.0, 56, 204, 0.2153846153846154, 0.03655352480417755, 1476]
[0.01, 0.6, 0, 1272, 0.0, 20, 240, 0.07692307692307693, 0.013054830287206266, 1512]
[0.6, 1.0, 0, 1272, 0.0, 18, 242, 0.06923076923076923, 0.01174934725848564, 1514]
[0.01, 1.0, 0, 1272, 0.0, 13, 247, 0.05, 0.008485639686684074, 1519]
[0.06, 0.6, 0, 1272, 0.0, 0, 260, 0.0, 0.0, 1532]
[0.06, 1.0, 0, 1272, 0.0, 0, 260, 0.0, 0.0, 1532]
[0.1, 0.6, 0, 1272, 0.0, 0, 260, 0.0, 0.0, 1532]
[0.1, 1.0, 0, 1272, 0.0, 0, 260, 0.0, 0.0, 1532]
