[mu2, mu3, correctneg, falseneg, correctneg%, correctoff, falseoff, correctoff%, correct%]
[0.001, 0.001, 91, 1171, 0.07210776545166403, 270, 0, 1.0, 0.23563968668407312, 0]
[0.001, 0.006, 91, 1171, 0.07210776545166403, 270, 0, 1.0, 0.23563968668407312, 0]
[0.001, 0.01, 91, 1171, 0.07210776545166403, 270, 0, 1.0, 0.23563968668407312, 0]
[0.006, 0.001, 90, 1172, 0.07131537242472266, 270, 0, 1.0, 0.2349869451697128, 0]
[0.006, 0.006, 90, 1172, 0.07131537242472266, 270, 0, 1.0, 0.2349869451697128, 0]
[0.006, 0.01, 90, 1172, 0.07131537242472266, 270, 0, 1.0, 0.2349869451697128, 0]
[0.01, 0.001, 90, 1172, 0.07131537242472266, 270, 0, 1.0, 0.2349869451697128, 0]
[0.01, 0.006, 90, 1172, 0.07131537242472266, 270, 0, 1.0, 0.2349869451697128, 0]
[0.01, 0.01, 90, 1172, 0.07131537242472266, 270, 0, 1.0, 0.2349869451697128, 0]
[0.06, 0.001, 90, 1172, 0.07131537242472266, 270, 0, 1.0, 0.2349869451697128, 0]
[0.06, 0.006, 90, 1172, 0.07131537242472266, 270, 0, 1.0, 0.2349869451697128, 0]
[0.06, 0.01, 90, 1172, 0.07131537242472266, 270, 0, 1.0, 0.2349869451697128, 0]
[0.06, 0.06, 90, 1172, 0.07131537242472266, 270, 0, 1.0, 0.2349869451697128, 0]
[0.06, 0.1, 90, 1172, 0.07131537242472266, 270, 0, 1.0, 0.2349869451697128, 0]
[0.1, 0.001, 90, 1172, 0.07131537242472266, 270, 0, 1.0, 0.2349869451697128, 0]
[0.1, 0.006, 90, 1172, 0.07131537242472266, 270, 0, 1.0, 0.2349869451697128, 0]
[0.1, 0.01, 90, 1172, 0.07131537242472266, 270, 0, 1.0, 0.2349869451697128, 0]
[0.1, 0.06, 90, 1172, 0.07131537242472266, 270, 0, 1.0, 0.2349869451697128, 0]
[0.1, 0.1, 90, 1172, 0.07131537242472266, 270, 0, 1.0, 0.2349869451697128, 0]
[0.01, 0.06, 90, 1172, 0.07131537242472266, 261, 9, 0.9666666666666667, 0.22911227154046998, 76]
[0.6, 0.6, 61, 1201, 0.04833597464342314, 270, 0, 1.0, 0.2160574412532637, 0]
[0.6, 0.1, 55, 1207, 0.043581616481774964, 270, 0, 1.0, 0.21214099216710183, 0]
[0.6, 0.001, 53, 1209, 0.041996830427892234, 270, 0, 1.0, 0.2108355091383812, 0]
[0.6, 0.006, 53, 1209, 0.041996830427892234, 270, 0, 1.0, 0.2108355091383812, 0]
[0.6, 0.01, 53, 1209, 0.041996830427892234, 270, 0, 1.0, 0.2108355091383812, 0]
[0.6, 0.06, 53, 1209, 0.041996830427892234, 270, 0, 1.0, 0.2108355091383812, 0]
[1.0, 0.6, 23, 1239, 0.018225039619651346, 270, 0, 1.0, 0.1912532637075718, 0]
[1.0, 1.0, 23, 1239, 0.018225039619651346, 270, 0, 1.0, 0.1912532637075718, 0]
[1.0, 0.1, 22, 1240, 0.017432646592709985, 270, 0, 1.0, 0.1906005221932115, 0]
[1.0, 0.001, 21, 1241, 0.01664025356576862, 270, 0, 1.0, 0.18994778067885118, 0]
[1.0, 0.006, 21, 1241, 0.01664025356576862, 270, 0, 1.0, 0.18994778067885118, 0]
[1.0, 0.01, 21, 1241, 0.01664025356576862, 270, 0, 1.0, 0.18994778067885118, 0]
[1.0, 0.06, 21, 1241, 0.01664025356576862, 270, 0, 1.0, 0.18994778067885118, 0]
[0.001, 0.06, 90, 1172, 0.07131537242472266, 100, 170, 0.37037037037037035, 0.12402088772845953, 1342]
[0.001, 0.1, 90, 1172, 0.07131537242472266, 100, 170, 0.37037037037037035, 0.12402088772845953, 1342]
[0.001, 0.6, 90, 1172, 0.07131537242472266, 100, 170, 0.37037037037037035, 0.12402088772845953, 1342]
[0.001, 1.0, 90, 1172, 0.07131537242472266, 100, 170, 0.37037037037037035, 0.12402088772845953, 1342]
[0.006, 0.06, 90, 1172, 0.07131537242472266, 100, 170, 0.37037037037037035, 0.12402088772845953, 1342]
[0.006, 0.1, 90, 1172, 0.07131537242472266, 100, 170, 0.37037037037037035, 0.12402088772845953, 1342]
[0.01, 0.1, 90, 1172, 0.07131537242472266, 100, 170, 0.37037037037037035, 0.12402088772845953, 1342]
[0.006, 0.6, 79, 1183, 0.06259904912836767, 86, 184, 0.31851851851851853, 0.1077023498694517, 1367]
[0.006, 1.0, 70, 1192, 0.0554675118858954, 79, 191, 0.29259259259259257, 0.09725848563968668, 1383]
[0.6, 1.0, 33, 1229, 0.026148969889064975, 100, 170, 0.37037037037037035, 0.08681462140992167, 1399]
[0.01, 0.6, 36, 1226, 0.028526148969889066, 41, 229, 0.15185185185185185, 0.05026109660574413, 1455]
[0.01, 1.0, 27, 1235, 0.021394611727416798, 25, 245, 0.09259259259259259, 0.033942558746736295, 1480]
[0.06, 0.6, 3, 1259, 0.002377179080824089, 1, 269, 0.003703703703703704, 0.0026109660574412533, 1528]
[0.1, 0.6, 3, 1259, 0.002377179080824089, 1, 269, 0.003703703703703704, 0.0026109660574412533, 1528]
[0.06, 1.0, 0, 1262, 0.0, 0, 270, 0.0, 0.0, 1532]
[0.1, 1.0, 0, 1262, 0.0, 0, 270, 0.0, 0.0, 1532]
