[mu2, mu3, correctneg, falseneg, correctneg%, correctoff, falseoff, correctoff%, correct%]
[0.001, 0.001, 80, 1172, 0.06389776357827476, 270, 0, 1.0, 0.22996057818659657, 0]
[0.001, 0.006, 80, 1172, 0.06389776357827476, 270, 0, 1.0, 0.22996057818659657, 0]
[0.001, 0.01, 80, 1172, 0.06389776357827476, 270, 0, 1.0, 0.22996057818659657, 0]
[0.006, 0.001, 80, 1172, 0.06389776357827476, 270, 0, 1.0, 0.22996057818659657, 0]
[0.006, 0.006, 80, 1172, 0.06389776357827476, 270, 0, 1.0, 0.22996057818659657, 0]
[0.006, 0.01, 80, 1172, 0.06389776357827476, 270, 0, 1.0, 0.22996057818659657, 0]
[0.01, 0.001, 80, 1172, 0.06389776357827476, 270, 0, 1.0, 0.22996057818659657, 0]
[0.01, 0.006, 80, 1172, 0.06389776357827476, 270, 0, 1.0, 0.22996057818659657, 0]
[0.01, 0.01, 80, 1172, 0.06389776357827476, 270, 0, 1.0, 0.22996057818659657, 0]
[0.06, 0.001, 80, 1172, 0.06389776357827476, 270, 0, 1.0, 0.22996057818659657, 0]
[0.06, 0.006, 80, 1172, 0.06389776357827476, 270, 0, 1.0, 0.22996057818659657, 0]
[0.06, 0.01, 80, 1172, 0.06389776357827476, 270, 0, 1.0, 0.22996057818659657, 0]
[0.06, 0.06, 80, 1172, 0.06389776357827476, 270, 0, 1.0, 0.22996057818659657, 0]
[0.06, 0.1, 80, 1172, 0.06389776357827476, 270, 0, 1.0, 0.22996057818659657, 0]
[0.1, 0.001, 80, 1172, 0.06389776357827476, 270, 0, 1.0, 0.22996057818659657, 0]
[0.1, 0.006, 80, 1172, 0.06389776357827476, 270, 0, 1.0, 0.22996057818659657, 0]
[0.1, 0.01, 80, 1172, 0.06389776357827476, 270, 0, 1.0, 0.22996057818659657, 0]
[0.1, 0.06, 80, 1172, 0.06389776357827476, 270, 0, 1.0, 0.22996057818659657, 0]
[0.1, 0.1, 80, 1172, 0.06389776357827476, 270, 0, 1.0, 0.22996057818659657, 0]
[0.01, 0.06, 80, 1172, 0.06389776357827476, 264, 6, 0.9777777777777777, 0.22601839684625494, 81]
[0.6, 0.6, 25, 1227, 0.019968051118210862, 270, 0, 1.0, 0.1938239159001314, 0]
[0.6, 0.1, 24, 1228, 0.019169329073482427, 270, 0, 1.0, 0.19316688567674112, 0]
[0.6, 0.001, 23, 1229, 0.018370607028753993, 270, 0, 1.0, 0.19250985545335086, 0]
[0.6, 0.006, 23, 1229, 0.018370607028753993, 270, 0, 1.0, 0.19250985545335086, 0]
[0.6, 0.01, 23, 1229, 0.018370607028753993, 270, 0, 1.0, 0.19250985545335086, 0]
[0.6, 0.06, 23, 1229, 0.018370607028753993, 270, 0, 1.0, 0.19250985545335086, 0]
[1.0, 1.0, 6, 1246, 0.004792332268370607, 270, 0, 1.0, 0.18134034165571616, 0]
[1.0, 0.6, 5, 1247, 0.003993610223642172, 270, 0, 1.0, 0.18068331143232588, 0]
[1.0, 0.001, 3, 1249, 0.0023961661341853034, 270, 0, 1.0, 0.17936925098554535, 0]
[1.0, 0.006, 3, 1249, 0.0023961661341853034, 270, 0, 1.0, 0.17936925098554535, 0]
[1.0, 0.01, 3, 1249, 0.0023961661341853034, 270, 0, 1.0, 0.17936925098554535, 0]
[1.0, 0.06, 3, 1249, 0.0023961661341853034, 270, 0, 1.0, 0.17936925098554535, 0]
[1.0, 0.1, 3, 1249, 0.0023961661341853034, 270, 0, 1.0, 0.17936925098554535, 0]
[0.001, 0.06, 80, 1172, 0.06389776357827476, 100, 170, 0.37037037037037035, 0.11826544021024968, 1342]
[0.001, 0.1, 80, 1172, 0.06389776357827476, 100, 170, 0.37037037037037035, 0.11826544021024968, 1342]
[0.001, 0.6, 80, 1172, 0.06389776357827476, 100, 170, 0.37037037037037035, 0.11826544021024968, 1342]
[0.001, 1.0, 80, 1172, 0.06389776357827476, 100, 170, 0.37037037037037035, 0.11826544021024968, 1342]
[0.006, 0.06, 80, 1172, 0.06389776357827476, 100, 170, 0.37037037037037035, 0.11826544021024968, 1342]
[0.006, 0.1, 80, 1172, 0.06389776357827476, 100, 170, 0.37037037037037035, 0.11826544021024968, 1342]
[0.01, 0.1, 80, 1172, 0.06389776357827476, 100, 170, 0.37037037037037035, 0.11826544021024968, 1342]
[0.006, 0.6, 61, 1191, 0.048722044728434506, 85, 185, 0.3148148148148148, 0.09592641261498029, 1376]
[0.006, 1.0, 52, 1200, 0.04153354632587859, 77, 193, 0.2851851851851852, 0.08475689881734559, 1393]
[0.6, 1.0, 16, 1236, 0.012779552715654952, 100, 170, 0.37037037037037035, 0.07621550591327202, 1406]
[0.01, 0.6, 24, 1228, 0.019169329073482427, 33, 237, 0.12222222222222222, 0.03745072273324573, 1465]
[0.01, 1.0, 18, 1234, 0.01437699680511182, 20, 250, 0.07407407407407407, 0.024967148488830485, 1484]
[0.06, 0.6, 1, 1251, 0.0007987220447284345, 1, 269, 0.003703703703703704, 0.001314060446780552, 1520]
[0.1, 0.6, 1, 1251, 0.0007987220447284345, 1, 269, 0.003703703703703704, 0.001314060446780552, 1520]
[0.06, 1.0, 0, 1252, 0.0, 0, 270, 0.0, 0.0, 1522]
[0.1, 1.0, 0, 1252, 0.0, 0, 270, 0.0, 0.0, 1522]
